generic_name,GEO_ID,myCount
LISINOPRIL,0500000US40109,5052
LISINOPRIL,0500000US48375,1271
LISINOPRIL,0500000US21157,145
LISINOPRIL,0500000US29121,66
LISINOPRIL,0500000US23025,354
LISINOPRIL,0500000US06083,1903
LISINOPRIL,0500000US72123,92
LISINOPRIL,0500000US27137,1955
LISINOPRIL,0500000US04019,5811
LISINOPRIL,0500000US19045,219
LISINOPRIL,0500000US22117,177
LISINOPRIL,0500000US51678,105
LISINOPRIL,0500000US22053,139
LISINOPRIL,0500000US20205,106
LISINOPRIL,0500000US26125,9289
LISINOPRIL,0500000US40133,133
LISINOPRIL,0500000US13163,66
LISINOPRIL,0500000US33011,2575
LISINOPRIL,0500000US51595,78
LISINOPRIL,0500000US36067,3335
LISINOPRIL,0500000US26163,10130
LISINOPRIL,0500000US20155,261
LISINOPRIL,0500000US27171,502
LISINOPRIL,0500000US12101,2901
LISINOPRIL,0500000US20097,35
LISINOPRIL,0500000US08031,4114
LISINOPRIL,0500000US08005,3316
LISINOPRIL,0500000US37021,2835
LISINOPRIL,0500000US13153,621
LISINOPRIL,0500000US48439,8370
LISINOPRIL,0500000US09011,1303
LISINOPRIL,0500000US21107,305
LISINOPRIL,0500000US36059,7850
LISINOPRIL,0500000US42043,2609
LISINOPRIL,0500000US45045,3507
LISINOPRIL,0500000US17201,1731
LISINOPRIL,0500000US42133,2562
LISINOPRIL,0500000US47123,189
LISINOPRIL,0500000US42077,3810
LISINOPRIL,0500000US29077,2398
LISINOPRIL,0500000US33013,1372
LISINOPRIL,0500000US33019,167
LISINOPRIL,0500000US39153,3690
LISINOPRIL,0500000US18061,146
LISINOPRIL,0500000US27111,386
LISINOPRIL,0500000US34035,1535
LISINOPRIL,0500000US72023,229
LISINOPRIL,0500000US04007,264
LISINOPRIL,0500000US55133,2178
LISINOPRIL,0500000US44009,617
LISINOPRIL,0500000US51540,1363
LISINOPRIL,0500000US27087,51
LISINOPRIL,0500000US39037,188
LISINOPRIL,0500000US72113,1123
LISINOPRIL,0500000US12127,2652
LISINOPRIL,0500000US06061,2189
LISINOPRIL,0500000US29189,6736
LISINOPRIL,0500000US12111,1362
LISINOPRIL,0500000US18069,164
LISINOPRIL,0500000US19113,1124
LISINOPRIL,0500000US24009,360
LISINOPRIL,0500000US39131,192
LISINOPRIL,0500000US26099,4870
LISINOPRIL,0500000US55027,587
LISINOPRIL,0500000US40017,427
LISINOPRIL,0500000US32003,8506
LISINOPRIL,0500000US42007,635
LISINOPRIL,0500000US12031,6486
LISINOPRIL,0500000US05007,1239
LISINOPRIL,0500000US18065,201
LISINOPRIL,0500000US17195,336
LISINOPRIL,0500000US48477,126
LISINOPRIL,0500000US09003,6139
LISINOPRIL,0500000US31109,1732
LISINOPRIL,0500000US01125,1096
LISINOPRIL,0500000US49049,1628
LISINOPRIL,0500000US51770,1258
LISINOPRIL,0500000US41009,155
LISINOPRIL,0500000US34021,2017
LISINOPRIL,0500000US44001,195
LISINOPRIL,0500000US13067,2837
LISINOPRIL,0500000US39017,1593
LISINOPRIL,0500000US13077,372
LISINOPRIL,0500000US36023,298
LISINOPRIL,0500000US45051,1647
LISINOPRIL,0500000US17085,66
LISINOPRIL,0500000US35001,4741
LISINOPRIL,0500000US17187,64
LISINOPRIL,0500000US25011,416
LISINOPRIL,0500000US45027,144
LISINOPRIL,0500000US13277,338
LISINOPRIL,0500000US13019,127
LISINOPRIL,0500000US06095,1861
LISINOPRIL,0500000US06089,1279
LISINOPRIL,0500000US42099,152
LISINOPRIL,0500000US23001,984
LISINOPRIL,0500000US20209,1181
LISINOPRIL,0500000US47145,263
LISINOPRIL,0500000US06029,3316
LISINOPRIL,0500000US39055,418
LISINOPRIL,0500000US48453,5174
LISINOPRIL,0500000US27003,1466
LISINOPRIL,0500000US25005,2868
LISINOPRIL,0500000US28121,684
LISINOPRIL,0500000US36055,6736
LISINOPRIL,0500000US06079,1370
LISINOPRIL,0500000US54109,131
LISINOPRIL,0500000US36001,2514
LISINOPRIL,0500000US37045,564
LISINOPRIL,0500000US37161,373
LISINOPRIL,0500000US45019,3522
LISINOPRIL,0500000US29019,1532
LISINOPRIL,0500000US26065,2387
LISINOPRIL,0500000US55129,197
LISINOPRIL,0500000US55013,131
LISINOPRIL,0500000US48309,1313
LISINOPRIL,0500000US53061,3408
LISINOPRIL,0500000US48499,178
LISINOPRIL,0500000US46029,179
LISINOPRIL,0500000US31055,4086
LISINOPRIL,0500000US47157,5130
LISINOPRIL,0500000US21023,24
LISINOPRIL,0500000US19061,607
LISINOPRIL,0500000US36093,1035
LISINOPRIL,0500000US53063,3838
LISINOPRIL,0500000US37001,645
LISINOPRIL,0500000US12107,322
LISINOPRIL,0500000US12001,2592
LISINOPRIL,0500000US28163,90
LISINOPRIL,0500000US22021,102
LISINOPRIL,0500000US42021,952
LISINOPRIL,0500000US18063,790
LISINOPRIL,0500000US37107,300
